Time,C1C
2022-01-02 02:51:00,24067189.9696
2022-01-02 02:51:30,24085014.8416
2022-01-02 02:52:00,24102875.5467
2022-01-02 02:52:30,24120770.8007
2022-01-02 02:53:00,24138700.8787
2022-01-02 02:53:30,24156663.5887
2022-01-02 02:54:00,24174661.0857
2022-01-02 02:54:30,24192691.5267
2022-01-02 02:55:00,24210753.9077
2022-01-02 02:55:30,24228848.3287
2022-01-02 02:56:00,24246974.5117
2022-01-02 02:56:30,24265131.6826
2022-01-02 02:57:00,24283319.2897
2022-01-02 02:57:30,24301537.6777
2022-01-02 02:58:00,24319784.8856
2022-01-02 02:58:30,24338062.4156
2022-01-02 02:59:00,24356368.4567
2022-01-02 02:59:30,24374702.8827
2022-01-02 03:00:00,24393064.5127
2022-01-02 03:00:30,24411453.7347
2022-01-02 03:01:00,24429869.1826
2022-01-02 03:01:30,24448310.8426
2022-01-02 03:02:00,24466779.7696
2022-01-02 03:02:30,24485272.9996
2022-01-02 03:03:00,24503792.6796
2022-01-02 03:03:30,24522336.3956
2022-01-02 03:04:00,24540903.2596
2022-01-02 03:04:30,24559493.1156
2022-01-02 03:05:00,24578109.0986
2022-01-02 03:05:30,24596746.5826
2022-01-02 03:06:00,24615404.8136
2022-01-02 03:06:30,24634086.7146
2022-01-02 03:07:00,24652789.5686
2022-01-02 03:07:30,24671512.5286
2022-01-02 03:08:00,24690255.8786
2022-01-02 03:08:30,24709019.6926
2022-01-02 03:09:00,24727803.5966
2022-01-02 03:09:30,24746605.8116
2022-01-02 03:10:00,24765426.8716
2022-01-02 03:10:30,24784266.0616
2022-01-02 03:11:00,24803123.1376
2022-01-02 03:11:30,24821997.6016
2022-01-02 03:12:00,24840888.8216
2022-01-02 03:12:30,24859796.6296
2022-01-02 03:13:00,24878719.5576
2022-01-02 03:13:30,24897658.7136
2022-01-02 03:14:00,24916612.9386
2022-01-02 03:14:30,24935580.8896
2022-01-02 03:15:00,24954564.9616
2022-01-02 03:15:30,24973560.4186
2022-01-02 03:16:00,24992571.0376
2022-01-02 03:16:30,25011593.5865
2022-01-02 03:17:00,25030629.4615
2022-01-02 03:17:30,25049676.1905
2022-01-02 03:18:00,25068735.1455
2022-01-02 03:18:30,25087805.2035
2022-01-02 03:19:00,25106887.5085
2022-01-02 03:19:30,25125980.3375
2022-01-02 03:20:00,25145080.3835
2022-01-02 03:20:30,25164189.9565
2022-01-02 03:21:00,25183309.3604
2022-01-02 03:21:30,25202439.9363
2022-01-02 03:22:00,25221581.1913
2022-01-02 03:22:30,25240719.8293
2022-01-02 03:23:00,25259871.1243
2022-01-02 03:24:30,25317367.6724
2022-01-02 03:25:00,25336543.4674
2022-01-02 03:25:30,25355725.3974
2022-01-02 03:26:00,25374911.0924
2022-01-02 03:26:30,25394101.8014
2022-01-02 03:27:00,25413299.1445
2022-01-02 03:27:30,25432499.7584
2022-01-02 03:28:00,25451706.3634
2022-01-02 03:28:30,25470921.1153
2022-01-02 03:29:00,25490135.3273
2022-01-02 03:29:30,25509326.3104
2022-01-02 03:30:00,25528535.0404
2022-01-02 03:30:30,25547749.4644
2022-01-02 03:31:00,25566962.7774
2022-01-02 03:32:00,25605390.5853
2022-01-02 03:32:30,25624602.4924
2022-01-02 03:34:00,25682242.3924
2022-01-02 03:34:30,25701452.7304
2022-01-02 03:35:00,25720658.4224
2022-01-02 03:35:30,25739862.2073
2022-01-02 15:24:30,25339820.3165
2022-01-02 15:25:00,25322716.0625
2022-01-02 15:25:30,25305658.4895
2022-01-02 15:26:00,25288650.5926
2022-01-02 15:26:30,25271687.2655
2022-01-02 15:27:00,25254775.2096
2022-01-02 15:27:30,25237911.8245
2022-01-02 15:28:00,25221099.4145
2022-01-02 15:28:30,25204333.2585
2022-01-02 15:29:00,25187624.9275
2022-01-02 15:29:30,25170963.9835
2022-01-02 15:30:00,25154354.8335
2022-01-02 15:30:30,25137798.1015
2022-01-02 15:31:00,25121294.5885
2022-01-02 15:31:30,25104842.5476
2022-01-02 15:32:00,25088442.2055
2022-01-02 15:32:30,25072100.3275
2022-01-02 15:33:00,25055813.5326
2022-01-02 15:33:30,25039578.1156
2022-01-02 15:34:00,25023398.7546
2022-01-02 15:34:30,25007274.3326
2022-01-02 15:35:00,24991205.0236
2022-01-02 15:35:30,24975195.5536
2022-01-02 15:36:00,24959241.2426
2022-01-02 15:36:30,24943345.6086
2022-01-02 15:37:00,24927506.3696
2022-01-02 15:37:30,24911726.0386
2022-01-02 15:38:00,24896004.1366
2022-01-02 15:38:30,24880342.9466
2022-01-02 15:39:00,24864739.3246
2022-01-02 15:39:30,24849196.8246
2022-01-02 15:40:00,24833713.9356
2022-01-02 15:40:30,24818293.6366
2022-01-02 15:41:00,24802931.9276
2022-01-02 15:41:30,24787634.9416
2022-01-02 15:42:00,24772399.2746
2022-01-02 15:42:30,24757226.3495
2022-01-02 15:43:00,24742115.6975
2022-01-02 15:43:30,24727067.4805
2022-01-02 15:44:00,24712085.2256
2022-01-02 15:44:30,24697165.6976
2022-01-02 15:45:00,24682308.6665
2022-01-02 15:45:30,24667521.0466
2022-01-02 15:46:00,24652797.6096
2022-01-02 15:46:30,24638139.1946
2022-01-02 15:47:00,24623548.2216
2022-01-02 15:47:30,24609021.6356
2022-01-02 15:48:00,24594564.8456
2022-01-02 15:48:30,24580173.1396
2022-01-02 15:49:00,24565850.5226
2022-01-02 15:49:30,24551596.3356
2022-01-02 15:50:00,24537411.7446
2022-01-02 15:50:30,24523295.1636
2022-01-02 15:51:00,24509247.7516
2022-01-02 15:51:30,24495269.0616
2022-01-02 15:52:00,24481362.8646
2022-01-02 15:52:30,24467526.2836
2022-01-02 15:53:00,24453761.8176
2022-01-02 15:53:30,24440066.6226
2022-01-02 15:54:00,24426445.2666
2022-01-02 15:54:30,24412896.2007
2022-01-02 15:55:00,24399417.8166
2022-01-02 15:55:30,24386013.0236
2022-01-02 15:56:00,24372680.9616
2022-01-02 15:56:30,24359423.2506
2022-01-02 15:57:00,24346239.0376
2022-01-02 15:57:30,24333129.7027
2022-01-02 15:58:00,24320094.9486
2022-01-02 15:58:30,24307134.2976
2022-01-02 15:59:00,24294248.9996
2022-01-02 15:59:30,24281440.0546
2022-01-02 16:00:00,24268707.9946
2022-01-02 16:00:30,24256051.1866
2022-01-02 16:01:00,24243470.6476
2022-01-02 16:01:30,24230968.1526
2022-01-02 16:02:00,24218542.5716
2022-01-02 16:02:30,24206195.7016
2022-01-02 16:03:00,24193926.9316
2022-01-02 16:03:30,24181737.0036
2022-01-02 16:04:00,24169624.7517
2022-01-02 16:04:30,24157592.1227
2022-01-02 16:05:00,24145637.8756
2022-01-02 16:05:30,24133763.8476
2022-01-02 16:06:00,24121969.5526
2022-01-02 16:06:30,24110256.1886
2022-01-02 16:07:00,24098624.1017
2022-01-02 16:07:30,24087071.8476
2022-01-02 16:08:00,24075600.7576
2022-01-02 16:08:30,24064211.7596
2022-01-02 16:09:00,24052903.9036
2022-01-02 16:09:30,24041679.2896
2022-01-02 16:10:00,24030537.7856
2022-01-02 16:10:30,24019477.7666
2022-01-02 16:11:00,24008499.9666
2022-01-02 16:11:30,23997606.1196
2022-01-02 16:12:00,23986796.6446
2022-01-02 16:12:30,23976071.2816
2022-01-02 16:13:00,23965429.2527
2022-01-02 16:13:30,23954871.6197
2022-01-02 16:14:00,23944398.3316
2022-01-02 16:14:30,23934010.8557
2022-01-02 16:15:00,23923707.4406
2022-01-02 16:15:30,23913489.9607
2022-01-02 16:16:00,23903358.0066
2022-01-02 16:16:30,23893312.3556
2022-01-02 16:17:00,23883352.1086
2022-01-02 16:17:30,23873479.0076
2022-01-02 16:18:00,23863691.8736
2022-01-02 16:18:30,23853992.9826
2022-01-02 16:19:00,23844379.0736
2022-01-02 16:19:30,23834855.8366
2022-01-02 16:20:00,23825417.5626
2022-01-02 16:20:30,23816067.5956
2022-01-02 16:21:00,23806806.0767
2022-01-02 16:21:30,23797633.2307
2022-01-02 16:22:00,23788546.7057
2022-01-02 16:22:30,23779551.6577
2022-01-02 16:23:00,23770642.6027
2022-01-02 16:23:30,23761824.6417
2022-01-02 16:24:00,23753094.8126
2022-01-02 16:24:30,23744455.7207
2022-01-02 16:25:00,23735905.2887
2022-01-02 16:25:30,23727444.3167
2022-01-02 16:26:00,23719073.8497
2022-01-02 16:26:30,23710793.1506
2022-01-02 16:27:00,23702603.2877
2022-01-02 16:27:30,23694503.2677
2022-01-02 16:28:00,23686493.7937
2022-01-02 16:28:30,23678575.8647
2022-01-02 16:29:00,23670748.6336
2022-01-02 16:29:30,23663012.7626
2022-01-02 16:30:00,23655367.7407
2022-01-02 16:30:30,23647814.7707
